año,capitulo,nombre_capitulo,area,nombre_area,subtitulo,nombre_subtitulo,devengo
2018,20,SERVICIO DE SALUD ARICA,001,DIRECCIÓN SERVICIO DE SALUD ARICA,21,GASTOS EN PERSONAL,10443032098
2018,20,SERVICIO DE SALUD ARICA,001,DIRECCIÓN SERVICIO DE SALUD ARICA,22,BIENES Y SERVICIOS DE CONSUMO,3736072341
2018,20,SERVICIO DE SALUD ARICA,001,DIRECCIÓN SERVICIO DE SALUD ARICA,23,PRESTACIONES DE SEGURIDAD SOCIAL,158203692
2018,20,SERVICIO DE SALUD ARICA,001,DIRECCIÓN SERVICIO DE SALUD ARICA,24,TRANSFERENCIAS CORRIENTES,21189095394
2018,20,SERVICIO DE SALUD ARICA,001,DIRECCIÓN SERVICIO DE SALUD ARICA,26,OTROS GASTOS CORRIENTES,607095337
2018,20,SERVICIO DE SALUD ARICA,001,DIRECCIÓN SERVICIO DE SALUD ARICA,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,1194019762
2018,20,SERVICIO DE SALUD ARICA,001,DIRECCIÓN SERVICIO DE SALUD ARICA,31,INICIATIVAS DE INVERSION,725073016
2018,20,SERVICIO DE SALUD ARICA,002,HOSPITAL DOCTOR JUAN NOE,21,GASTOS EN PERSONAL,30402083198
2018,20,SERVICIO DE SALUD ARICA,002,HOSPITAL DOCTOR JUAN NOE,22,BIENES Y SERVICIOS DE CONSUMO,21385065522
2018,20,SERVICIO DE SALUD ARICA,002,HOSPITAL DOCTOR JUAN NOE,23,PRESTACIONES DE SEGURIDAD SOCIAL,663886565
2018,20,SERVICIO DE SALUD ARICA,002,HOSPITAL DOCTOR JUAN NOE,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,161152141
2018,21,SERVICIO DE SALUD IQUIQUE,001,DIRECCIÓN DEL SERVICIO,21,GASTOS EN PERSONAL,12922849212
2018,21,SERVICIO DE SALUD IQUIQUE,001,DIRECCIÓN DEL SERVICIO,22,BIENES Y SERVICIOS DE CONSUMO,3692199292
2018,21,SERVICIO DE SALUD IQUIQUE,001,DIRECCIÓN DEL SERVICIO,23,PRESTACIONES DE SEGURIDAD SOCIAL,1197257594
2018,21,SERVICIO DE SALUD IQUIQUE,001,DIRECCIÓN DEL SERVICIO,24,TRANSFERENCIAS CORRIENTES,33091033984
2018,21,SERVICIO DE SALUD IQUIQUE,001,DIRECCIÓN DEL SERVICIO,26,OTROS GASTOS CORRIENTES,455499867
2018,21,SERVICIO DE SALUD IQUIQUE,001,DIRECCIÓN DEL SERVICIO,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,126372718
2018,21,SERVICIO DE SALUD IQUIQUE,001,DIRECCIÓN DEL SERVICIO,31,INICIATIVAS DE INVERSION,2166368464
2018,21,SERVICIO DE SALUD IQUIQUE,002,HOSPITAL DE IQUIQUE,21,GASTOS EN PERSONAL,44850918221
2018,21,SERVICIO DE SALUD IQUIQUE,002,HOSPITAL DE IQUIQUE,22,BIENES Y SERVICIOS DE CONSUMO,19773727893
2018,21,SERVICIO DE SALUD IQUIQUE,002,HOSPITAL DE IQUIQUE,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,331099708
2018,21,SERVICIO DE SALUD IQUIQUE,003,HOSPITAL DE ALTO HOSPICIO,21,GASTOS EN PERSONAL,2465686539
2018,21,SERVICIO DE SALUD IQUIQUE,003,HOSPITAL DE ALTO HOSPICIO,22,BIENES Y SERVICIOS DE CONSUMO,941429829
2018,21,SERVICIO DE SALUD IQUIQUE,003,HOSPITAL DE ALTO HOSPICIO,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,12993479
2018,22,SERVICIO DE SALUD ANTOFAGASTA,001,DIRECCIÓN SERVICIO DE SALUD ANTOFAGASTA,21,GASTOS EN PERSONAL,10703157674
2018,22,SERVICIO DE SALUD ANTOFAGASTA,001,DIRECCIÓN SERVICIO DE SALUD ANTOFAGASTA,22,BIENES Y SERVICIOS DE CONSUMO,9952286492
2018,22,SERVICIO DE SALUD ANTOFAGASTA,001,DIRECCIÓN SERVICIO DE SALUD ANTOFAGASTA,23,PRESTACIONES DE SEGURIDAD SOCIAL,251426709
2018,22,SERVICIO DE SALUD ANTOFAGASTA,001,DIRECCIÓN SERVICIO DE SALUD ANTOFAGASTA,24,TRANSFERENCIAS CORRIENTES,38689328366
